N,Time
1000,0.004006862640380859
1001,0.003996849060058594
1002,0.004010200500488281
1003,0.003518819808959961
1004,0.003999948501586914
1005,0.003999233245849609
1006,0.0039997100830078125
1007,0.003999471664428711
1008,0.002999544143676758
1009,0.004082441329956055
1010,0.003534555435180664
1011,0.004029273986816406
1012,0.003000020980834961
1013,0.00463104248046875
1014,0.00441741943359375
1015,0.003333568572998047
1016,0.004025936126708984
1017,0.003669261932373047
1018,0.0044176578521728516
1019,0.003131866455078125
1020,0.00400090217590332
1021,0.002922534942626953
1022,0.003340482711791992
1023,0.005417585372924805
1024,0.0039997100830078125
1025,0.0029997825622558594
1026,0.004351615905761719
1027,0.003999233245849609
1028,0.003245830535888672
1029,0.004365205764770508
1030,0.004151582717895508
1031,0.003999948501586914
1032,0.003252267837524414
1033,0.0032281875610351562
1034,0.0029997825622558594
1035,0.00424647331237793
1036,0.004139423370361328
1037,0.004189491271972656
1038,0.004048824310302734
1039,0.004468679428100586
1040,0.0031385421752929688
1041,0.004296779632568359
1042,0.003507852554321289
1043,0.004500389099121094
1044,0.0044803619384765625
1045,0.0033752918243408203
1046,0.004138469696044922
1047,0.004343509674072266
1048,0.004296779632568359
1049,0.004381656646728516
1050,0.0040283203125
1051,0.003000020980834961
1052,0.00424504280090332
1053,0.003999948501586914
1054,0.003999948501586914
1055,0.004000186920166016
1056,0.004260540008544922
1057,0.004102945327758789
1058,0.003190755844116211
1059,0.0033211708068847656
1060,0.003141641616821289
1061,0.0031092166900634766
1062,0.0032711029052734375
1063,0.00406193733215332
1064,0.004158496856689453
1065,0.004610776901245117
1066,0.003999233245849609
1067,0.003999948501586914
1068,0.004998922348022461
1069,0.003999948501586914
1070,0.004118919372558594
1071,0.0045490264892578125
1072,0.0034036636352539062
1073,0.003324747085571289
1074,0.004301309585571289
1075,0.004000186920166016
1076,0.003999948501586914
1077,0.004000186920166016
1078,0.0050013065338134766
1079,0.0039997100830078125
1080,0.005113124847412109
1081,0.00464940071105957
1082,0.004245281219482422
1083,0.003340005874633789
1084,0.0035550594329833984
1085,0.004062652587890625
1086,0.004029750823974609
1087,0.004667520523071289
1088,0.0040645599365234375
1089,0.004027128219604492
1090,0.004214286804199219
1091,0.004117488861083984
1092,0.0040302276611328125
1093,0.004000186920166016
1094,0.003999948501586914
1095,0.004000186920166016
1096,0.003999948501586914
1097,0.004001140594482422
1098,0.003999948501586914
1099,0.003999948501586914
1100,0.00400090217590332
1101,0.0041980743408203125
1102,0.0033397674560546875
1103,0.004248380661010742
1104,0.003920316696166992
